AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION,DCS_LAST_MOD_DTTM,OBJECTID
DC National Guard,2024/05/22 04:00:00+00,422.73,THE HOME DEPOT #2555,MD,HOME SUPPLY WAREHOUSE STORES,2024/06/11 15:15:49+00,545464
Office of the Attorney General,2024/05/22 04:00:00+00,465.32,KIMPTON HOTEL MONACO D,CO,LODGING-HOTELS MOTELS RESORTS-NOT CLASSIFIED,2024/06/11 15:15:49+00,545479
Office of the Attorney General,2024/05/22 04:00:00+00,465.32,KIMPTON HOTEL MONACO D,CO,LODGING-HOTELS MOTELS RESORTS-NOT CLASSIFIED,2024/06/11 15:15:49+00,545480
Department of Health,2024/05/22 04:00:00+00,755.55,MARRIOTT DETROIT DTOWN,MI,MARRIOTT,2024/06/11 15:15:49+00,545488
District of Columbia Public Schools,2024/05/22 04:00:00+00,700.15,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545504
District of Columbia Public Schools,2024/05/22 04:00:00+00,1200,WWP*PRESTO PEST CONTRO,PA,EXTERMINATING AND DISINFECTING SERVICES,2024/06/11 15:15:49+00,545643
District of Columbia Public Schools,2024/05/22 04:00:00+00,2000,INSTITUTE FOR EDUCA,DC,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545644
Department of Education,2024/05/22 04:00:00+00,1.7,MARRIOTT S ANTONIO RVR,TX,MARRIOTT,2024/06/11 15:15:49+00,545647
Department of Education,2024/05/22 04:00:00+00,890.13,MARRIOTT S ANTONIO RVR,TX,MARRIOTT,2024/06/11 15:15:49+00,545648
Department of Education,2024/05/22 04:00:00+00,890.13,MARRIOTT S ANTONIO RVR,TX,MARRIOTT,2024/06/11 15:15:49+00,545649
Department of Education,2024/05/22 04:00:00+00,890.13,MARRIOTT S ANTONIO RVR,TX,MARRIOTT,2024/06/11 15:15:49+00,545650
Department of Education,2024/05/22 04:00:00+00,890.13,MARRIOTT S ANTONIO RVR,TX,MARRIOTT,2024/06/11 15:15:49+00,545651
Department of Education,2024/05/22 04:00:00+00,890.13,MARRIOTT S ANTONIO RVR,TX,MARRIOTT,2024/06/11 15:15:49+00,545652
District of Columbia Public Schools,2024/05/22 04:00:00+00,2250,PAYPAL,MD,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545676
District of Columbia Public Schools,2024/05/22 04:00:00+00,2450,PAYPAL,MD,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545677
District of Columbia Public Schools,2024/05/22 04:00:00+00,2500,PAYPAL,MD,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545678
District of Columbia Public Schools,2024/05/22 04:00:00+00,2150,PAYPAL,MD,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545679
District of Columbia Public Schools,2024/05/22 04:00:00+00,218.66,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545977
District of Columbia Public Schools,2024/05/22 04:00:00+00,70.41,AMAZON.COM*EW69R1Q03,WA,BOOK STORES,2024/06/11 15:15:49+00,545982
District of Columbia Public Schools,2024/05/22 04:00:00+00,500,PAYPAL,CA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546164
District of Columbia Public Schools,2024/05/22 04:00:00+00,1000,PAYPAL,CA,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546165
District of Columbia Public Schools,2024/05/22 04:00:00+00,791.45,UNITED AIRLINES,IL,UNITED AIRLINES,2024/06/11 15:15:49+00,546292
Office of the Chief Financial Officer,2024/05/22 04:00:00+00,155.52,PITNEY BOWES PI,CT,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546415
Office of the Chief Financial Officer,2024/05/22 04:00:00+00,101.14,PITNEY BOWES PI,CT,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546416
DC Public Library,2024/05/22 04:00:00+00,350.34,DC BAR,DC,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546423
District of Columbia Public Schools,2024/05/22 04:00:00+00,123.12,LASER ART INC,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546435
District of Columbia Public Schools,2024/05/22 04:00:00+00,500.06,INDEED 92848026,TX,EMPLOYMENT AGENCIES  TEMPORARY HELP SERVICES,2024/06/11 15:15:49+00,546748
District Department of the Environment,2024/05/22 04:00:00+00,378.42,SKILLSOFT CORPORATION,NH,Large Digital Goods Merchant,2024/06/11 15:15:49+00,546753
Fire & Emergency Medical Services,2024/05/22 04:00:00+00,397.19,RS AUTO  TRUCK SPRINGW,MD,AUTOMOTIVE SERVICE SHOPS,2024/06/11 15:15:49+00,546756
Fire & Emergency Medical Services,2024/05/22 04:00:00+00,1906.5,RS AUTO  TRUCK SPRINGW,MD,AUTOMOTIVE SERVICE SHOPS,2024/06/11 15:15:49+00,546757
Fire & Emergency Medical Services,2024/05/22 04:00:00+00,617.68,RS AUTO  TRUCK SPRINGW,MD,AUTOMOTIVE SERVICE SHOPS,2024/06/11 15:15:49+00,546758
District of Columbia Public Schools,2024/05/22 04:00:00+00,80.56,ETSY.COM*JRCTHESLP,NY,ACCESSORY AND APPAREL STORES-MISCELLANEOUS,2024/06/11 15:15:49+00,546759
District of Columbia Public Schools,2024/05/22 04:00:00+00,797.76,GRAINGER,IL,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546765
District of Columbia Public Schools,2024/05/22 04:00:00+00,152.5,SHOWMARK MEDIA,CT,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,546766
District Department of the Environment,2024/05/22 04:00:00+00,1200,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,546899
District of Columbia Public Schools,2024/05/22 04:00:00+00,2019.75,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546902
District of Columbia Public Schools,2024/05/22 04:00:00+00,859.66,IN *PRECISION CAPITAL,CA,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546910
District of Columbia Public Schools,2024/05/22 04:00:00+00,770,NASSP PRODUCT & SERVIC,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546911
Office of the Attorney General,2024/05/22 04:00:00+00,136.5,PUBLIC PERFORMANCE MAN,DC,COMP PROGRAMING DATA PRCSNG INTGRTD SYS DSGN SRVS,2024/06/11 15:15:49+00,546913
District of Columbia Public Schools,2024/05/22 04:00:00+00,27.62,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546915
District of Columbia Public Schools,2024/05/22 04:00:00+00,764.64,FSP*CROWN TROPHY OF WA,MD,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,546916
District of Columbia Public Schools,2024/05/22 04:00:00+00,597.8,ABC TECHNICAL SOLUTION,VA,COMPUTER MAIN.-REPAIR-SERVICES NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,547050
District of Columbia Public Schools,2024/05/22 04:00:00+00,362.42,NTLREST SERVSAFE,IL,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547055
District Department of Transportation,2024/05/22 04:00:00+00,885,ISA,GA,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,547056
District of Columbia Public Schools,2024/05/22 04:00:00+00,40,PAYPAL,CA,ORGANIZATIONS  POLITICAL,2024/06/11 15:15:49+00,547068
District of Columbia Public Schools,2024/05/22 04:00:00+00,200,PAYPAL,CA,ORGANIZATIONS  POLITICAL,2024/06/11 15:15:49+00,547069
District of Columbia Public Schools,2024/05/22 04:00:00+00,200,PAYPAL,CA,ORGANIZATIONS  POLITICAL,2024/06/11 15:15:49+00,547070
District of Columbia Public Schools,2024/05/22 04:00:00+00,4203.37,PHYSICAL EDUCATION EQU,OH,SPORTING GOODS STORES,2024/06/11 15:15:49+00,547073
District of Columbia Public Schools,2024/05/22 04:00:00+00,1297.94,BLUEBAY OFFICE INC,DC,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,547074
District of Columbia Public Schools,2024/05/22 04:00:00+00,234.29,AMAZON MAR* 111-324952,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,547206
District of Columbia Public Schools,2024/05/22 04:00:00+00,59.99,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547207
District of Columbia Public Schools,2024/05/22 04:00:00+00,49.86,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547208
District of Columbia Public Schools,2024/05/22 04:00:00+00,206,NC CARPORTS AND GARAGE,NC,ROOFING AND SIDING  SHEET METAL WORK CONTRACTORS,2024/06/11 15:15:49+00,547210
District of Columbia Public Schools,2024/05/22 04:00:00+00,1350,IN *BENJI HOLDINGS LLC,CA,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,547213
District of Columbia Public Schools,2024/05/22 04:00:00+00,30.99,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,547214
Department of Health,2024/05/22 04:00:00+00,124.28,AMAZON MAR* 111-592443,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,547215
District of Columbia Public Schools,2024/05/22 04:00:00+00,1400,PBLWORKS* PBL WORLD 20,CA,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547221
DC Public Library,2024/05/22 04:00:00+00,-2360,PAYPAL,CA,CABLE  SATELLITE  OTHER PAY TELEVISION  RADIO SVCS,2024/06/11 15:15:49+00,547227
District of Columbia Public Schools,2024/05/22 04:00:00+00,4952.75,IN *BRISCOE & WOODS SE,CA,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,547229
District of Columbia Public Schools,2024/05/21 04:00:00+00,3206.58,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544844
District of Columbia Public Schools,2024/05/21 04:00:00+00,4406.48,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544845
Department of Motor Vehicles,2024/05/21 04:00:00+00,1657.5,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544859
Department of Motor Vehicles,2024/05/21 04:00:00+00,196,PAYPAL,CO,ELECTRICAL CONTRACTORS,2024/06/11 15:15:49+00,544866
Office of the Mayor,2024/05/21 04:00:00+00,4.24,D J,NJ,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,544983
District of Columbia Public Schools,2024/05/21 04:00:00+00,443.7,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,544990
District of Columbia Public Schools,2024/05/21 04:00:00+00,477.5,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545000
District of Columbia Public Schools,2024/05/21 04:00:00+00,697.15,LASER ART INC,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545001
District of Columbia Public Schools,2024/05/21 04:00:00+00,59.98,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545143
District of Columbia Public Schools,2024/05/21 04:00:00+00,38.43,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545145
District of Columbia Public Schools,2024/05/21 04:00:00+00,72.48,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545279
Department of Motor Vehicles,2024/05/21 04:00:00+00,2235,CAPITAL SERVICES & SUP,DC,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,545434
Office of the Chief Financial Officer,2024/05/21 04:00:00+00,99.98,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545664
DC Public Library,2024/05/21 04:00:00+00,55.9,BLUEBAY OFFICE INC,DC,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,545810
DC Public Library,2024/05/21 04:00:00+00,1000,PAYPAL,CA,CABLE  SATELLITE  OTHER PAY TELEVISION  RADIO SVCS,2024/06/11 15:15:49+00,545811
DC Public Library,2024/05/21 04:00:00+00,2360,PAYPAL,CA,CABLE  SATELLITE  OTHER PAY TELEVISION  RADIO SVCS,2024/06/11 15:15:49+00,545812
DC Public Library,2024/05/21 04:00:00+00,800,PAYPAL,IL,THEATRICAL PRODUCERS(EXCL MOTION PIX) TICKET AGNCY,2024/06/11 15:15:49+00,545813
District of Columbia Public Schools,2024/05/21 04:00:00+00,656,CUSTOMINK LLC,VA,MENS AND WOMENS CLOTHING STORES,2024/06/11 15:15:49+00,545815
District of Columbia Public Schools,2024/05/21 04:00:00+00,180.8,DNH*GODADDY.COM,AZ,COMPUTER NETWORK-INFORMATION SERVICES,2024/06/11 15:15:49+00,545816
District of Columbia Public Schools,2024/05/21 04:00:00+00,161.73,ARES HOTEL,CA,TRAVEL AGENCIES AND TOUR OPERATORS,2024/06/11 15:15:49+00,545817
District of Columbia Public Schools,2024/05/21 04:00:00+00,246.97,AMAZON RET* 112-740801,WA,VARIETY STORES,2024/06/11 15:15:49+00,545820
District of Columbia Public Schools,2024/05/21 04:00:00+00,168.08,STAPLES       00115618,MD,OFFICE  SCHOOL SUPPLY  AND STATIONERY STORES,2024/06/11 15:15:49+00,545821
District of Columbia Public Schools,2024/05/21 04:00:00+00,83.98,AMAZON RET* 113-849555,WA,VARIETY STORES,2024/06/11 15:15:49+00,545822
Department of Health,2024/05/21 04:00:00+00,152.64,FIGMA ANNUAL RENEWAL,CA,COMP PROGRAMING DATA PRCSNG INTGRTD SYS DSGN SRVS,2024/06/11 15:15:49+00,545823
District of Columbia Public Schools,2024/05/21 04:00:00+00,14.83,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545828
District of Columbia Public Schools,2024/05/21 04:00:00+00,1650,YOURMEMBERSHIP,FL,COMP PROGRAMING DATA PRCSNG INTGRTD SYS DSGN SRVS,2024/06/11 15:15:49+00,545830
District of Columbia Public Schools,2024/05/21 04:00:00+00,46.98,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545832
District of Columbia Public Schools,2024/05/21 04:00:00+00,49.47,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545833
District of Columbia Public Schools,2024/05/21 04:00:00+00,2310,IN *BATTLE'S TRANSPORT,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545839
Office of the Attorney General,2024/05/21 04:00:00+00,236.4,"SQ *CHRISTINE T. ASIF,",DC,ATTORNEYS  LEGAL SERVICES,2024/06/11 15:15:49+00,545971
District of Columbia Public Schools,2024/05/21 04:00:00+00,3300,IN *BATTLE'S TRANSPORT,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545973
District of Columbia Public Schools,2024/05/21 04:00:00+00,25,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,545976
District Department of Transportation,2024/05/21 04:00:00+00,889.5,ANNIES ACE HARDWARE,DC,HARDWARE STORES,2024/06/11 15:15:49+00,545980
District Department of Transportation,2024/05/21 04:00:00+00,2118.9,ANNIES ACE HARDWARE,DC,HARDWARE STORES,2024/06/11 15:15:49+00,545981
Department of Motor Vehicles,2024/05/21 04:00:00+00,215,COLLINS ELEVATOR SERVI,DC,CONTRACTORS SPECIAL TRADE-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545984
Department of Motor Vehicles,2024/05/21 04:00:00+00,1845,COLLINS ELEVATOR SERVI,DC,CONTRACTORS SPECIAL TRADE-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545985
Department of Motor Vehicles,2024/05/21 04:00:00+00,560,B&R ASSOCIATES,MD,AUTOMOTIVE PARTS  ACCESSORIES STORES,2024/06/11 15:15:49+00,545986
Department of Motor Vehicles,2024/05/21 04:00:00+00,720,B&R ASSOCIATES,MD,AUTOMOTIVE PARTS  ACCESSORIES STORES,2024/06/11 15:15:49+00,545987
District of Columbia Public Schools,2024/05/21 04:00:00+00,1992,"IN *AVANT ASSESSMENT,",CA,CONSULTING  MANAGEMENT  AND PUBLIC RELATIONS SVCS,2024/06/11 15:15:49+00,545988
Fire & Emergency Medical Services,2024/05/21 04:00:00+00,3284.14,"4IMPRINT, INC",WI,DIRECT MARKETING-OTHER DIRECT MARKETERS-NOT ELSEW.,2024/06/11 15:15:49+00,545989
District Department of Transportation,2024/05/21 04:00:00+00,775.28,TROXLER ELECTRONIC LAB,NC,ELECTRONIC SALES,2024/06/11 15:15:49+00,545991
District Department of Transportation,2024/05/21 04:00:00+00,717.77,INSTROTEK INC,NC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,545992
District of Columbia Public Schools,2024/05/21 04:00:00+00,-89.99,AMAZON MAR* 113-364001,WA,MISCELLANEOUS AND SPECIALTY RETAIL STORES,2024/06/11 15:15:49+00,545994
Office of the Attorney General,2024/05/21 04:00:00+00,1084.15,STANDARD OFFICE SUPPLY,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546018
District Department of Transportation,2024/05/21 04:00:00+00,4322.62,ABC TECHNICAL SOLUTION,VA,COMPUTER MAIN.-REPAIR-SERVICES NOT ELSEWHERE CLASS,2024/06/11 15:15:49+00,546124
Office of the Attorney General,2024/05/21 04:00:00+00,625,NEW YORK STATE BAR ASS,NY,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,546132
"Department of Insurance, Securities & Banking",2024/05/21 04:00:00+00,1200,CVENT* CREDIT BUILDERS,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546143
"Department of Insurance, Securities & Banking",2024/05/21 04:00:00+00,773,IN *LASTING CHANGE LIF,MD,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),2024/06/11 15:15:49+00,546144
DC National Guard,2024/05/21 04:00:00+00,1236.19,SHERWIN WILLIAMS 70330,MD,GLASS  PAINT  WALLPAPER STORES,2024/06/11 15:15:49+00,546145
District Department of the Environment,2024/05/21 04:00:00+00,30,METRO FARE AUTOLOAD,DC,TRANSPRTN-SUBRBN + LOCAL COMTR PSNGR  INCL FERRIES,2024/06/11 15:15:49+00,546264
District of Columbia Public Schools,2024/05/21 04:00:00+00,65.44,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546265
District Department of the Environment,2024/05/21 04:00:00+00,1710.4,TOUCAN PRINTING & PROM,DC,MISCELLANEOUS PUBLISHING AND PRINTING,2024/06/11 15:15:49+00,546276
District of Columbia Public Schools,2024/05/21 04:00:00+00,279.6,FEDEX,TN,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,546410
District of Columbia Public Schools,2024/05/21 04:00:00+00,75.64,FEDEX,TN,COURIER SVC-AIR + GROUND  FREIGHT FORWARDERS,2024/06/11 15:15:49+00,546411
District of Columbia Public Schools,2024/05/21 04:00:00+00,1350,PRO-AIR,MD,HEATING  PLUMBING  AIR CONDITIONING CONTRACTORS,2024/06/11 15:15:49+00,546413
District of Columbia Public Schools,2024/05/21 04:00:00+00,1499,LESBIANS WHO TECH,DC,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546418
District of Columbia Public Schools,2024/05/21 04:00:00+00,999,CCSSO,DC,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546419
District of Columbia Public Schools,2024/05/21 04:00:00+00,1634,IFLY INDOOR SKYDIVING,TX,BANDS  ORCHESTRAS  + MISC ENTRTNRS-NOT ELSWHR CLAS,2024/06/11 15:15:49+00,546421
District of Columbia Public Schools,2024/05/21 04:00:00+00,132.39,THE UPS STORE 7315,DC,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546422
District of Columbia Public Schools,2024/05/21 04:00:00+00,165.93,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546424
District of Columbia Public Schools,2024/05/21 04:00:00+00,1306.8,LEARNING WITHOUT TEARS,MD,SCHOOLS + EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546433
District of Columbia Public Schools,2024/05/21 04:00:00+00,77.78,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546603
Department of Health,2024/05/21 04:00:00+00,1253.4,FAITH MANAGEMENT CONSU,DC,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2024/06/11 15:15:49+00,546604
District of Columbia Public Schools,2024/05/21 04:00:00+00,73.98,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,546607
Fire & Emergency Medical Services,2024/05/21 04:00:00+00,2500,IN *EXECUTIVE CONTRACT,DC,GENERAL CONTRACTORS-RESIDENTIAL BUILDINGS,2024/06/11 15:15:49+00,546609
Office of the Attorney General,2024/05/21 04:00:00+00,1300,ONETAPCHECKIN.COM,TX,COMPUTER SOFTWARE STORES,2024/06/11 15:15:49+00,546612
District of Columbia Public Schools,2024/05/21 04:00:00+00,2658.44,DC SHIRT AND PRINT COM,DC,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546614
District of Columbia Public Schools,2024/05/21 04:00:00+00,214.92,LINKEDIN ADS 102243983,CA,DIRECT MARKETING-CONTINUITY-SUBSCRIPTION MERCHANTS,2024/06/11 15:15:49+00,546745
District of Columbia Public Schools,2024/05/21 04:00:00+00,1079,YOURMEMBERSHIP,FL,COMP PROGRAMING DATA PRCSNG INTGRTD SYS DSGN SRVS,2024/06/11 15:15:49+00,546746
District of Columbia Public Schools,2024/05/21 04:00:00+00,609,YOURMEMBERSHIP,FL,COMP PROGRAMING DATA PRCSNG INTGRTD SYS DSGN SRVS,2024/06/11 15:15:49+00,546747
District of Columbia Public Schools,2024/05/21 04:00:00+00,2376,IN *BATTLE'S TRANSPORT,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546749
District of Columbia Public Schools,2024/05/21 04:00:00+00,82.5,IN *BATTLE'S TRANSPORT,CA,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546750
Department of Motor Vehicles,2024/05/21 04:00:00+00,557.25,BANNER WORLD,CA,ADVERTISING SERVICES,2024/06/11 15:15:49+00,546751
Fire & Emergency Medical Services,2024/05/21 04:00:00+00,145,DRIVEEZMD REBILL,MD,BRIDGE AND ROAD FEES  TOLLS,2024/06/11 15:15:49+00,546755
District of Columbia Public Schools,2024/05/21 04:00:00+00,68,"PETER PAN BUS LINES, I",MA,BUS LINES,2024/06/11 15:15:49+00,546909
Department of Small & Local Business Development,2024/05/21 04:00:00+00,522.3,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,546912
District of Columbia Public Schools,2024/05/21 04:00:00+00,453.56,ODP BUS SOL LLC # 1059,PA,DIRECT MARKETING-COMBINATION CATALOG-RETAIL MERCH.,2024/06/11 15:15:49+00,547061
"Department of Insurance, Securities & Banking",2024/05/21 04:00:00+00,50,DC CHAMBER OF COMMERCE,DC,ORGANIZATIONS  CHARITABLE AND SOCIAL SERVICES,2024/06/11 15:15:49+00,547063
District of Columbia Public Schools,2024/05/21 04:00:00+00,949.35,U.S. OFFICE SOLUTIONS,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547212
Office of the Mayor,2024/05/21 04:00:00+00,158.28,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547216
Office of the Mayor,2024/05/21 04:00:00+00,2189.85,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547217
Office of the Mayor,2024/05/21 04:00:00+00,396.37,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547218
Office of the Mayor,2024/05/21 04:00:00+00,234.75,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547219
Office of the Mayor,2024/05/21 04:00:00+00,399.95,METROPOLITAN,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547220
District of Columbia Public Schools,2024/05/21 04:00:00+00,524.52,LASER ART INC,DC,COMMERCIAL EQUIPMENT  NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,547225
District Department of the Environment,2024/05/20 04:00:00+00,1020,TFS*THERMOSCI PORTABLE,MA,DENTAL-LAB-MED-OPHTHALMIC HOSP EQUIP + SUPPLIES,2024/06/11 15:15:49+00,544839
Fire & Emergency Medical Services,2024/05/20 04:00:00+00,875.1,IN *MAPP'S AC EQUIPMEN,CA,AIR CONDITIONING AND REFRIGERATION REPAIR SHOPS,2024/06/11 15:15:49+00,544840
District of Columbia Public Schools,2024/05/20 04:00:00+00,80.81,SP WE ARE PRIDE WHOL,FL,MISCELLANEOUS GENERAL MERCHANDISE,2024/06/11 15:15:49+00,544841
District of Columbia Public Schools,2024/05/20 04:00:00+00,185.25,AMZN MKTP US,WA,BOOK STORES,2024/06/11 15:15:49+00,544970
Department of Housing & Community Development,2024/05/20 04:00:00+00,975,CVENT* AMERICAN BAR AS,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544972
Department of Housing & Community Development,2024/05/20 04:00:00+00,975,CVENT* AMERICAN BAR AS,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544973
Department of Housing & Community Development,2024/05/20 04:00:00+00,975,CVENT* AMERICAN BAR AS,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544974
Department of Housing & Community Development,2024/05/20 04:00:00+00,975,CVENT* AMERICAN BAR AS,VA,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2024/06/11 15:15:49+00,544975
